language,outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,n_issues,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
ar,capability_failure,mistral-large-2512,EU,8.012820512820513e-4,-8.012820512820513e-4,0.0028044871794871795,2496,624,0.08012820512820512,-0.08012820512820512,0.28044871794871795,exploratory model heterogeneity
ru,genuine_refusal,deepseek-chat-v3.1,CN,0.044070512820512824,0.032852564102564104,0.056510416666666646,2496,624,4.407051282051282,3.2852564102564106,5.651041666666664,exploratory model heterogeneity
ru,genuine_refusal,glm-4.7-flash,CN,-0.002403846153846154,-0.008413461538461538,0.003205128205128205,2496,624,-0.2403846153846154,-0.8413461538461539,0.3205128205128205,exploratory model heterogeneity
ru,genuine_refusal,hunyuan-a13b,CN,-0.038461538461538464,-0.04887820512820513,-0.028235176282051293,2496,624,-3.8461538461538463,-4.887820512820513,-2.823517628205129,exploratory model heterogeneity
ru,genuine_refusal,qwen3-max,CN,-0.028044871794871796,-0.035256410256410256,-0.020833333333333332,2496,624,-2.8044871794871797,-3.5256410256410255,-2.083333333333333,exploratory model heterogeneity
ru,genuine_refusal,allam-7b,MENA,-0.0673076923076923,-0.07774439102564103,-0.05788261217948719,2496,624,-6.730769230769231,-7.774439102564103,-5.788261217948719,exploratory model heterogeneity
ru,genuine_refusal,falcon3-10b,MENA,8.012820512820513e-4,-0.007822516025641026,0.00921474358974359,2496,624,0.08012820512820512,-0.7822516025641025,0.921474358974359,exploratory model heterogeneity
ru,genuine_refusal,jais-8b,MENA,-0.020032051282051284,-0.027053285256410257,-0.013221153846153846,2496,624,-2.003205128205128,-2.7053285256410255,-1.3221153846153846,exploratory model heterogeneity
ru,genuine_refusal,sarvam-30b,India,-0.05868069607446378,-0.06959407116073965,-0.048217179902755265,2471,624,-5.868069607446378,-6.959407116073965,-4.821717990275527,exploratory model heterogeneity
ru,genuine_refusal,claude-opus-4.5,US,0.003205128205128205,-0.005819310897435898,0.013221153846153846,2496,624,0.3205128205128205,-0.5819310897435898,1.3221153846153846,exploratory model heterogeneity
ru,genuine_refusal,gemini-2.5-flash-lite,US,0,-0.003605769230769231,0.003205128205128205,2496,624,0,-0.3605769230769231,0.3205128205128205,exploratory model heterogeneity
ru,genuine_refusal,gpt-4o,US,0.004008016032064128,8.014345999691691e-4,0.007214428857715431,2495,624,0.4008016032064128,0.08014345999691691,0.7214428857715431,exploratory model heterogeneity
ru,genuine_refusal,gpt-5.1,US,-0.01201923076923077,-0.018830128205128204,-0.006009615384615385,2496,624,-1.201923076923077,-1.8830128205128205,-0.6009615384615385,exploratory model heterogeneity
ru,genuine_refusal,grok-4.3,US,-8.012820512820513e-4,-0.006810897435897436,0.004006410256410256,2496,624,-0.08012820512820512,-0.6810897435897436,0.4006410256410256,exploratory model heterogeneity
ru,genuine_refusal,llama-4-scout,US,0.013221153846153846,0.00641025641025641,0.020643028846153835,2496,624,1.3221153846153846,0.641025641025641,2.0643028846153837,exploratory model heterogeneity
ru,genuine_refusal,nova-lite,US,-0.003205128205128205,-0.007211538461538462,0.00040064102564102563,2496,624,-0.3205128205128205,-0.7211538461538461,0.04006410256410256,exploratory model heterogeneity
ru,genuine_refusal,ministral-14b,EU,0.00040064102564102563,-8.012820512820513e-4,0.002003205128205128,2496,624,0.04006410256410256,-0.08012820512820512,0.2003205128205128,exploratory model heterogeneity
ru,genuine_refusal,mistral-large-2512,EU,-8.012820512820513e-4,-0.002003205128205128,0,2496,624,-0.08012820512820512,-0.2003205128205128,0,exploratory model heterogeneity
ru,capability_failure,deepseek-chat-v3.1,CN,0.002003205128205128,-0.003605769230769231,0.007612179487179487,2496,624,0.2003205128205128,-0.3605769230769231,0.7612179487179487,exploratory model heterogeneity
ru,capability_failure,glm-4.7-flash,CN,0.004006410256410256,0.00040064102564102563,0.008012820512820512,2496,624,0.4006410256410256,0.04006410256410256,0.8012820512820512,exploratory model heterogeneity
ru,capability_failure,hunyuan-a13b,CN,-0.06330128205128205,-0.08274238782051282,-0.04487179487179487,2496,624,-6.330128205128204,-8.274238782051283,-4.487179487179487,exploratory model heterogeneity
ru,capability_failure,qwen3-max,CN,-0.0733173076923077,-0.08974358974358974,-0.057692307692307696,2496,624,-7.331730769230769,-8.974358974358974,-5.769230769230769,exploratory model heterogeneity
ru,capability_failure,allam-7b,MENA,0.5877403846153846,0.5682992788461538,0.609815705128205,2496,624,58.77403846153846,56.82992788461539,60.981570512820504,exploratory model heterogeneity
