estimand_family,quantity,jurisdiction,stratum,stratum_value,home_status,weighting,n,n_issues,n_models,refusals_strict,refusals_any,rate_strict,rate_any,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,note,replicate_failure_rate,n_home,n_away,outcome,estimand_label,causal_interpretation,general_handling,uncertainty,bootstrap_unit
A_descriptive,cell_rate,US,model,claude-opus-4.5,general,response,2080,104,1,39,63,0.01875,0.03028846153846154,0.01875,NA,NA,1.875,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,claude-opus-4.5,home,response,2080,104,1,57,92,0.027403846153846154,0.04423076923076923,0.027403846153846154,NA,NA,2.7403846153846154,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,gpt-4o,away,response,8319,416,1,150,158,0.018031013342949875,0.0189926673879072,0.018031013342949875,NA,NA,1.8031013342949875,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,gpt-4o,general,response,2080,104,1,19,21,0.009134615384615385,0.010096153846153847,0.009134615384615385,NA,NA,0.9134615384615385,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,gpt-4o,home,response,2080,104,1,42,45,0.020192307692307693,0.021634615384615384,0.020192307692307693,NA,NA,2.019230769230769,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,gpt-5.1,away,response,8320,416,1,285,367,0.034254807692307696,0.044110576923076926,0.034254807692307696,NA,NA,3.4254807692307696,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,gpt-5.1,general,response,2080,104,1,37,57,0.017788461538461538,0.027403846153846154,0.017788461538461538,NA,NA,1.7788461538461537,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,gpt-5.1,home,response,2080,104,1,38,50,0.01826923076923077,0.02403846153846154,0.01826923076923077,NA,NA,1.826923076923077,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,grok-4.3,away,response,8320,416,1,134,199,0.01610576923076923,0.02391826923076923,0.01610576923076923,NA,NA,1.610576923076923,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,grok-4.3,general,response,2080,104,1,23,39,0.011057692307692308,0.01875,0.011057692307692308,NA,NA,1.1057692307692308,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,grok-4.3,home,response,2080,104,1,23,37,0.011057692307692308,0.017788461538461538,0.011057692307692308,NA,NA,1.1057692307692308,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
