model_f,language_f,prompt_category,foundation_f,n,activation_rate
GPT-4o,Indonesian,governance_democracy,Sanctity/Degradation,24,0.08333333333333334
GPT-4o,Indonesian,migration_nationalism,Sanctity/Degradation,16,0
GPT-4o,Indonesian,religion_state,Sanctity/Degradation,4,0
GPT-4o,Indonesian,security_conflict,Sanctity/Degradation,51,0.019607843137254895
GPT-4o,Indonesian,social_moral,Sanctity/Degradation,8,0
GPT-4o,Indonesian,territorial_sovereignty,Sanctity/Degradation,16,0
GPT-4o,Arabic,civil_rights_liberties,Sanctity/Degradation,32,0.09375
GPT-4o,Arabic,economic_policy,Sanctity/Degradation,4,0
GPT-4o,Arabic,environment_energy,Sanctity/Degradation,4,0
GPT-4o,Arabic,governance_democracy,Sanctity/Degradation,23,0.04347826086956523
GPT-4o,Arabic,migration_nationalism,Sanctity/Degradation,16,0
GPT-4o,Arabic,religion_state,Sanctity/Degradation,4,0
GPT-4o,Arabic,security_conflict,Sanctity/Degradation,51,0.0196078431372549
GPT-4o,Arabic,social_moral,Sanctity/Degradation,8,0
GPT-4o,Arabic,territorial_sovereignty,Sanctity/Degradation,16,0
GPT-4o,English,civil_rights_liberties,Liberty/Oppression,32,0.46875
GPT-4o,English,economic_policy,Liberty/Oppression,3,0.33333333333333337
GPT-4o,English,environment_energy,Liberty/Oppression,4,0.25
GPT-4o,English,governance_democracy,Liberty/Oppression,23,0.5652173913043479
GPT-4o,English,migration_nationalism,Liberty/Oppression,16,0.625
GPT-4o,English,religion_state,Liberty/Oppression,4,1
GPT-4o,English,security_conflict,Liberty/Oppression,51,0.29411764705882354
GPT-4o,English,social_moral,Liberty/Oppression,8,0.75
GPT-4o,English,territorial_sovereignty,Liberty/Oppression,16,0.625
GPT-4o,Chinese,civil_rights_liberties,Liberty/Oppression,32,0.375
GPT-4o,Chinese,economic_policy,Liberty/Oppression,4,0.5
GPT-4o,Chinese,environment_energy,Liberty/Oppression,4,0
GPT-4o,Chinese,governance_democracy,Liberty/Oppression,23,0.4782608695652174
GPT-4o,Chinese,migration_nationalism,Liberty/Oppression,16,0.5625
GPT-4o,Chinese,religion_state,Liberty/Oppression,4,0.5
GPT-4o,Chinese,security_conflict,Liberty/Oppression,52,0.23076923076923073
GPT-4o,Chinese,social_moral,Liberty/Oppression,8,0.5
GPT-4o,Chinese,territorial_sovereignty,Liberty/Oppression,16,0.625
GPT-4o,Japanese,civil_rights_liberties,Liberty/Oppression,31,0.4516129032258064
GPT-4o,Japanese,economic_policy,Liberty/Oppression,4,0.25
GPT-4o,Japanese,environment_energy,Liberty/Oppression,4,0
GPT-4o,Japanese,governance_democracy,Liberty/Oppression,24,0.375
GPT-4o,Japanese,migration_nationalism,Liberty/Oppression,16,0.5625
GPT-4o,Japanese,religion_state,Liberty/Oppression,4,0.75
GPT-4o,Japanese,security_conflict,Liberty/Oppression,50,0.26
GPT-4o,Japanese,social_moral,Liberty/Oppression,8,0.375
GPT-4o,Japanese,territorial_sovereignty,Liberty/Oppression,16,0.5
GPT-4o,Indonesian,civil_rights_liberties,Liberty/Oppression,32,0.40625
GPT-4o,Indonesian,economic_policy,Liberty/Oppression,4,0.5
GPT-4o,Indonesian,environment_energy,Liberty/Oppression,4,0
GPT-4o,Indonesian,governance_democracy,Liberty/Oppression,24,0.5416666666666667
GPT-4o,Indonesian,migration_nationalism,Liberty/Oppression,16,0.5
GPT-4o,Indonesian,religion_state,Liberty/Oppression,4,0.75
GPT-4o,Indonesian,security_conflict,Liberty/Oppression,51,0.2549019607843137
GPT-4o,Indonesian,social_moral,Liberty/Oppression,8,0.375
GPT-4o,Indonesian,territorial_sovereignty,Liberty/Oppression,16,0.75
GPT-4o,Arabic,civil_rights_liberties,Liberty/Oppression,32,0.34375
GPT-4o,Arabic,economic_policy,Liberty/Oppression,4,0.25
GPT-4o,Arabic,environment_energy,Liberty/Oppression,4,0
GPT-4o,Arabic,governance_democracy,Liberty/Oppression,23,0.5217391304347826
GPT-4o,Arabic,migration_nationalism,Liberty/Oppression,16,0.5625
GPT-4o,Arabic,religion_state,Liberty/Oppression,4,0.5
GPT-4o,Arabic,security_conflict,Liberty/Oppression,51,0.2549019607843137
GPT-4o,Arabic,social_moral,Liberty/Oppression,8,0.625
GPT-4o,Arabic,territorial_sovereignty,Liberty/Oppression,16,0.75
Grok 4.3,English,civil_rights_liberties,Care/Harm,32,0.21875
Grok 4.3,English,economic_policy,Care/Harm,4,0.75
Grok 4.3,English,environment_energy,Care/Harm,4,1
Grok 4.3,English,governance_democracy,Care/Harm,24,0.41666666666666663
Grok 4.3,English,migration_nationalism,Care/Harm,16,0.25
Grok 4.3,English,religion_state,Care/Harm,4,1
Grok 4.3,English,security_conflict,Care/Harm,51,0.3921568627450981
Grok 4.3,English,social_moral,Care/Harm,8,0.625
Grok 4.3,English,territorial_sovereignty,Care/Harm,16,0.25
Grok 4.3,Chinese,civil_rights_liberties,Care/Harm,32,0.25
Grok 4.3,Chinese,economic_policy,Care/Harm,4,0.5
Grok 4.3,Chinese,environment_energy,Care/Harm,4,1
Grok 4.3,Chinese,governance_democracy,Care/Harm,24,0.33333333333333337
Grok 4.3,Chinese,migration_nationalism,Care/Harm,16,0.25
Grok 4.3,Chinese,religion_state,Care/Harm,4,1
Grok 4.3,Chinese,security_conflict,Care/Harm,51,0.3921568627450981
Grok 4.3,Chinese,social_moral,Care/Harm,8,0.625
Grok 4.3,Chinese,territorial_sovereignty,Care/Harm,15,0.26666666666666666
Grok 4.3,Japanese,civil_rights_liberties,Care/Harm,32,0.25
Grok 4.3,Japanese,economic_policy,Care/Harm,4,0.5
Grok 4.3,Japanese,environment_energy,Care/Harm,4,1
Grok 4.3,Japanese,governance_democracy,Care/Harm,23,0.30434782608695654
Grok 4.3,Japanese,migration_nationalism,Care/Harm,16,0.25
Grok 4.3,Japanese,religion_state,Care/Harm,4,1
Grok 4.3,Japanese,security_conflict,Care/Harm,50,0.36
Grok 4.3,Japanese,social_moral,Care/Harm,8,0.75
Grok 4.3,Japanese,territorial_sovereignty,Care/Harm,16,0.3125
Grok 4.3,Indonesian,civil_rights_liberties,Care/Harm,32,0.28125
Grok 4.3,Indonesian,economic_policy,Care/Harm,4,0.75
Grok 4.3,Indonesian,environment_energy,Care/Harm,4,1
Grok 4.3,Indonesian,governance_democracy,Care/Harm,24,0.375
Grok 4.3,Indonesian,migration_nationalism,Care/Harm,16,0.25
Grok 4.3,Indonesian,religion_state,Care/Harm,4,0.75
Grok 4.3,Indonesian,security_conflict,Care/Harm,51,0.33333333333333337
Grok 4.3,Indonesian,social_moral,Care/Harm,8,0.75
Grok 4.3,Indonesian,territorial_sovereignty,Care/Harm,16,0.375
Grok 4.3,Arabic,civil_rights_liberties,Care/Harm,32,0.28125
Grok 4.3,Arabic,economic_policy,Care/Harm,4,0.75
Grok 4.3,Arabic,environment_energy,Care/Harm,4,1
Grok 4.3,Arabic,governance_democracy,Care/Harm,24,0.29166666666666663
Grok 4.3,Arabic,migration_nationalism,Care/Harm,16,0.25
Grok 4.3,Arabic,religion_state,Care/Harm,4,1
Grok 4.3,Arabic,security_conflict,Care/Harm,52,0.326923076923077
Grok 4.3,Arabic,social_moral,Care/Harm,8,0.875
Grok 4.3,Arabic,territorial_sovereignty,Care/Harm,16,0.3125
Grok 4.3,English,civil_rights_liberties,Fairness/Cheating,32,0.46875
Grok 4.3,English,economic_policy,Fairness/Cheating,4,0.75
Grok 4.3,English,environment_energy,Fairness/Cheating,4,0.25
Grok 4.3,English,governance_democracy,Fairness/Cheating,24,0.75
Grok 4.3,English,migration_nationalism,Fairness/Cheating,16,0.3125
Grok 4.3,English,religion_state,Fairness/Cheating,4,0.75
Grok 4.3,English,security_conflict,Fairness/Cheating,51,0.2941176470588235
Grok 4.3,English,social_moral,Fairness/Cheating,8,0.5
Grok 4.3,English,territorial_sovereignty,Fairness/Cheating,16,0.9375
Grok 4.3,Chinese,civil_rights_liberties,Fairness/Cheating,32,0.53125
Grok 4.3,Chinese,economic_policy,Fairness/Cheating,4,0.75
Grok 4.3,Chinese,environment_energy,Fairness/Cheating,4,0.25
Grok 4.3,Chinese,governance_democracy,Fairness/Cheating,24,0.625
Grok 4.3,Chinese,migration_nationalism,Fairness/Cheating,16,0.5
Grok 4.3,Chinese,religion_state,Fairness/Cheating,4,0
Grok 4.3,Chinese,security_conflict,Fairness/Cheating,51,0.2352941176470588
Grok 4.3,Chinese,social_moral,Fairness/Cheating,8,0.75
Grok 4.3,Chinese,territorial_sovereignty,Fairness/Cheating,15,0.8666666666666667
Grok 4.3,Japanese,civil_rights_liberties,Fairness/Cheating,32,0.46875
Grok 4.3,Japanese,economic_policy,Fairness/Cheating,4,0.75
Grok 4.3,Japanese,environment_energy,Fairness/Cheating,4,0
Grok 4.3,Japanese,governance_democracy,Fairness/Cheating,23,0.6521739130434783
Grok 4.3,Japanese,migration_nationalism,Fairness/Cheating,16,0.4375
Grok 4.3,Japanese,religion_state,Fairness/Cheating,4,0.75
Grok 4.3,Japanese,security_conflict,Fairness/Cheating,50,0.28
Grok 4.3,Japanese,social_moral,Fairness/Cheating,8,0.75
Grok 4.3,Japanese,territorial_sovereignty,Fairness/Cheating,16,0.875
Grok 4.3,Indonesian,civil_rights_liberties,Fairness/Cheating,32,0.53125
Grok 4.3,Indonesian,economic_policy,Fairness/Cheating,4,0.5
Grok 4.3,Indonesian,environment_energy,Fairness/Cheating,4,0
Grok 4.3,Indonesian,governance_democracy,Fairness/Cheating,24,0.6666666666666666
Grok 4.3,Indonesian,migration_nationalism,Fairness/Cheating,16,0.4375
Grok 4.3,Indonesian,religion_state,Fairness/Cheating,4,0
Grok 4.3,Indonesian,security_conflict,Fairness/Cheating,51,0.3137254901960784
Grok 4.3,Indonesian,social_moral,Fairness/Cheating,8,0.625
Grok 4.3,Indonesian,territorial_sovereignty,Fairness/Cheating,16,0.9375
Grok 4.3,Arabic,civil_rights_liberties,Fairness/Cheating,32,0.625
Grok 4.3,Arabic,economic_policy,Fairness/Cheating,4,0.75
Grok 4.3,Arabic,environment_energy,Fairness/Cheating,4,0.25
Grok 4.3,Arabic,governance_democracy,Fairness/Cheating,24,0.7083333333333333
Grok 4.3,Arabic,migration_nationalism,Fairness/Cheating,16,0.5
Grok 4.3,Arabic,religion_state,Fairness/Cheating,4,0
Grok 4.3,Arabic,security_conflict,Fairness/Cheating,52,0.4230769230769231
Grok 4.3,Arabic,social_moral,Fairness/Cheating,8,0.625
Grok 4.3,Arabic,territorial_sovereignty,Fairness/Cheating,16,0.9375
Grok 4.3,English,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
Grok 4.3,English,economic_policy,Loyalty/Betrayal,4,0
Grok 4.3,English,environment_energy,Loyalty/Betrayal,4,0
Grok 4.3,English,governance_democracy,Loyalty/Betrayal,24,0.08333333333333333
Grok 4.3,English,migration_nationalism,Loyalty/Betrayal,16,0.3125
Grok 4.3,English,religion_state,Loyalty/Betrayal,4,0
Grok 4.3,English,security_conflict,Loyalty/Betrayal,51,0.15686274509803927
Grok 4.3,English,social_moral,Loyalty/Betrayal,8,0
Grok 4.3,English,territorial_sovereignty,Loyalty/Betrayal,16,0.1875
Grok 4.3,Chinese,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
Grok 4.3,Chinese,economic_policy,Loyalty/Betrayal,4,0
Grok 4.3,Chinese,environment_energy,Loyalty/Betrayal,4,0
Grok 4.3,Chinese,governance_democracy,Loyalty/Betrayal,24,0.08333333333333333
Grok 4.3,Chinese,migration_nationalism,Loyalty/Betrayal,16,0.125
Grok 4.3,Chinese,religion_state,Loyalty/Betrayal,4,0
Grok 4.3,Chinese,security_conflict,Loyalty/Betrayal,51,0.1764705882352941
Grok 4.3,Chinese,social_moral,Loyalty/Betrayal,8,0
Grok 4.3,Chinese,territorial_sovereignty,Loyalty/Betrayal,15,0.13333333333333333
Grok 4.3,Japanese,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
Grok 4.3,Japanese,economic_policy,Loyalty/Betrayal,4,0
Grok 4.3,Japanese,environment_energy,Loyalty/Betrayal,4,0
Grok 4.3,Japanese,governance_democracy,Loyalty/Betrayal,23,0.04347826086956523
Grok 4.3,Japanese,migration_nationalism,Loyalty/Betrayal,16,0.125
Grok 4.3,Japanese,religion_state,Loyalty/Betrayal,4,0
Grok 4.3,Japanese,security_conflict,Loyalty/Betrayal,50,0.18000000000000002
Grok 4.3,Japanese,social_moral,Loyalty/Betrayal,8,0
Grok 4.3,Japanese,territorial_sovereignty,Loyalty/Betrayal,16,0
Grok 4.3,Indonesian,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
Grok 4.3,Indonesian,economic_policy,Loyalty/Betrayal,4,0
Grok 4.3,Indonesian,environment_energy,Loyalty/Betrayal,4,0
Grok 4.3,Indonesian,governance_democracy,Loyalty/Betrayal,24,0.04166666666666667
Grok 4.3,Indonesian,migration_nationalism,Loyalty/Betrayal,16,0.1875
Grok 4.3,Indonesian,religion_state,Loyalty/Betrayal,4,0
Grok 4.3,Indonesian,security_conflict,Loyalty/Betrayal,51,0.17647058823529413
Grok 4.3,Indonesian,social_moral,Loyalty/Betrayal,8,0
Grok 4.3,Indonesian,territorial_sovereignty,Loyalty/Betrayal,16,0.125
Grok 4.3,Arabic,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
Grok 4.3,Arabic,economic_policy,Loyalty/Betrayal,4,0
Grok 4.3,Arabic,environment_energy,Loyalty/Betrayal,4,0
Grok 4.3,Arabic,governance_democracy,Loyalty/Betrayal,24,0.125
Grok 4.3,Arabic,migration_nationalism,Loyalty/Betrayal,16,0.25
Grok 4.3,Arabic,religion_state,Loyalty/Betrayal,4,0
Grok 4.3,Arabic,security_conflict,Loyalty/Betrayal,52,0.17307692307692304
Grok 4.3,Arabic,social_moral,Loyalty/Betrayal,8,0
Grok 4.3,Arabic,territorial_sovereignty,Loyalty/Betrayal,16,0.1875
Grok 4.3,English,civil_rights_liberties,Authority/Subversion,32,0.1875
Grok 4.3,English,economic_policy,Authority/Subversion,4,0
Grok 4.3,English,environment_energy,Authority/Subversion,4,0
Grok 4.3,English,governance_democracy,Authority/Subversion,24,0.16666666666666669
Grok 4.3,English,migration_nationalism,Authority/Subversion,16,0.375
Grok 4.3,English,religion_state,Authority/Subversion,4,0
Grok 4.3,English,security_conflict,Authority/Subversion,51,0.09803921568627451
Grok 4.3,English,social_moral,Authority/Subversion,8,0
Grok 4.3,English,territorial_sovereignty,Authority/Subversion,16,0.1875
Grok 4.3,Chinese,civil_rights_liberties,Authority/Subversion,32,0.21875
Grok 4.3,Chinese,economic_policy,Authority/Subversion,4,0
Grok 4.3,Chinese,environment_energy,Authority/Subversion,4,0
Grok 4.3,Chinese,governance_democracy,Authority/Subversion,24,0.25
Grok 4.3,Chinese,migration_nationalism,Authority/Subversion,16,0.25
Grok 4.3,Chinese,religion_state,Authority/Subversion,4,0
Grok 4.3,Chinese,security_conflict,Authority/Subversion,51,0.0196078431372549
Grok 4.3,Chinese,social_moral,Authority/Subversion,8,0
Grok 4.3,Chinese,territorial_sovereignty,Authority/Subversion,15,0.33333333333333337
Grok 4.3,Japanese,civil_rights_liberties,Authority/Subversion,32,0.125
Grok 4.3,Japanese,economic_policy,Authority/Subversion,4,0
Grok 4.3,Japanese,environment_energy,Authority/Subversion,4,0
Grok 4.3,Japanese,governance_democracy,Authority/Subversion,23,0.08695652173913043
Grok 4.3,Japanese,migration_nationalism,Authority/Subversion,16,0.3125
Grok 4.3,Japanese,religion_state,Authority/Subversion,4,0
Grok 4.3,Japanese,security_conflict,Authority/Subversion,50,0.03999999999999998
Grok 4.3,Japanese,social_moral,Authority/Subversion,8,0
Grok 4.3,Japanese,territorial_sovereignty,Authority/Subversion,16,0.1875
Grok 4.3,Indonesian,civil_rights_liberties,Authority/Subversion,32,0.21875
Grok 4.3,Indonesian,economic_policy,Authority/Subversion,4,0
Grok 4.3,Indonesian,environment_energy,Authority/Subversion,4,0
Grok 4.3,Indonesian,governance_democracy,Authority/Subversion,24,0.16666666666666669
Grok 4.3,Indonesian,migration_nationalism,Authority/Subversion,16,0.3125
Grok 4.3,Indonesian,religion_state,Authority/Subversion,4,0
Grok 4.3,Indonesian,security_conflict,Authority/Subversion,51,0.07843137254901963
Grok 4.3,Indonesian,social_moral,Authority/Subversion,8,0
Grok 4.3,Indonesian,territorial_sovereignty,Authority/Subversion,16,0.25
Grok 4.3,Arabic,civil_rights_liberties,Authority/Subversion,32,0.125
Grok 4.3,Arabic,economic_policy,Authority/Subversion,4,0
Grok 4.3,Arabic,environment_energy,Authority/Subversion,4,0
Grok 4.3,Arabic,governance_democracy,Authority/Subversion,24,0.20833333333333334
Grok 4.3,Arabic,migration_nationalism,Authority/Subversion,16,0.375
Grok 4.3,Arabic,religion_state,Authority/Subversion,4,0
Grok 4.3,Arabic,security_conflict,Authority/Subversion,52,0.01923076923076923
Grok 4.3,Arabic,social_moral,Authority/Subversion,8,0
Grok 4.3,Arabic,territorial_sovereignty,Authority/Subversion,16,0.1875
Grok 4.3,English,civil_rights_liberties,Sanctity/Degradation,32,0.25
Grok 4.3,English,economic_policy,Sanctity/Degradation,4,0
Grok 4.3,English,environment_energy,Sanctity/Degradation,4,0
Grok 4.3,English,governance_democracy,Sanctity/Degradation,24,0.04166666666666668
Grok 4.3,English,migration_nationalism,Sanctity/Degradation,16,0.0625
Grok 4.3,English,religion_state,Sanctity/Degradation,4,0
Grok 4.3,English,security_conflict,Sanctity/Degradation,51,0.03921568627450982
Grok 4.3,English,social_moral,Sanctity/Degradation,8,0
Grok 4.3,English,territorial_sovereignty,Sanctity/Degradation,16,0
Grok 4.3,Chinese,civil_rights_liberties,Sanctity/Degradation,32,0.25
Grok 4.3,Chinese,economic_policy,Sanctity/Degradation,4,0
Grok 4.3,Chinese,environment_energy,Sanctity/Degradation,4,0
Grok 4.3,Chinese,governance_democracy,Sanctity/Degradation,24,0.08333333333333334
Grok 4.3,Chinese,migration_nationalism,Sanctity/Degradation,16,0
Grok 4.3,Chinese,religion_state,Sanctity/Degradation,4,0
Grok 4.3,Chinese,security_conflict,Sanctity/Degradation,51,0.03921568627450982
Grok 4.3,Chinese,social_moral,Sanctity/Degradation,8,0.25
Grok 4.3,Chinese,territorial_sovereignty,Sanctity/Degradation,15,0
Grok 4.3,Japanese,civil_rights_liberties,Sanctity/Degradation,32,0.15625
Grok 4.3,Japanese,economic_policy,Sanctity/Degradation,4,0
Grok 4.3,Japanese,environment_energy,Sanctity/Degradation,4,0
Grok 4.3,Japanese,governance_democracy,Sanctity/Degradation,23,0.13043478260869565
Grok 4.3,Japanese,migration_nationalism,Sanctity/Degradation,16,0
Grok 4.3,Japanese,religion_state,Sanctity/Degradation,4,0
Grok 4.3,Japanese,security_conflict,Sanctity/Degradation,50,0.059999999999999984
Grok 4.3,Japanese,social_moral,Sanctity/Degradation,8,0
Grok 4.3,Japanese,territorial_sovereignty,Sanctity/Degradation,16,0
Grok 4.3,Indonesian,civil_rights_liberties,Sanctity/Degradation,32,0.21875
Grok 4.3,Indonesian,economic_policy,Sanctity/Degradation,4,0
Grok 4.3,Indonesian,environment_energy,Sanctity/Degradation,4,0
Grok 4.3,Indonesian,governance_democracy,Sanctity/Degradation,24,0.125
Grok 4.3,Indonesian,migration_nationalism,Sanctity/Degradation,16,0.125
Grok 4.3,Indonesian,religion_state,Sanctity/Degradation,4,0
Grok 4.3,Indonesian,security_conflict,Sanctity/Degradation,51,0.05882352941176469
Grok 4.3,Indonesian,social_moral,Sanctity/Degradation,8,0
Grok 4.3,Indonesian,territorial_sovereignty,Sanctity/Degradation,16,0
Grok 4.3,Arabic,civil_rights_liberties,Sanctity/Degradation,32,0.21875
Grok 4.3,Arabic,economic_policy,Sanctity/Degradation,4,0
Grok 4.3,Arabic,environment_energy,Sanctity/Degradation,4,0
Grok 4.3,Arabic,governance_democracy,Sanctity/Degradation,24,0.08333333333333334
Grok 4.3,Arabic,migration_nationalism,Sanctity/Degradation,16,0
Grok 4.3,Arabic,religion_state,Sanctity/Degradation,4,0
Grok 4.3,Arabic,security_conflict,Sanctity/Degradation,52,0.07692307692307694
Grok 4.3,Arabic,social_moral,Sanctity/Degradation,8,0.125
Grok 4.3,Arabic,territorial_sovereignty,Sanctity/Degradation,16,0
Grok 4.3,English,civil_rights_liberties,Liberty/Oppression,32,0.5
Grok 4.3,English,economic_policy,Liberty/Oppression,4,0.75
Grok 4.3,English,environment_energy,Liberty/Oppression,4,0
Grok 4.3,English,governance_democracy,Liberty/Oppression,24,0.5416666666666667
Grok 4.3,English,migration_nationalism,Liberty/Oppression,16,0.8125
Grok 4.3,English,religion_state,Liberty/Oppression,4,1
Grok 4.3,English,security_conflict,Liberty/Oppression,51,0.2156862745098039
Grok 4.3,English,social_moral,Liberty/Oppression,8,0.5
Grok 4.3,English,territorial_sovereignty,Liberty/Oppression,16,0.75
Grok 4.3,Chinese,civil_rights_liberties,Liberty/Oppression,32,0.40625
Grok 4.3,Chinese,economic_policy,Liberty/Oppression,4,0.5
Grok 4.3,Chinese,environment_energy,Liberty/Oppression,4,0.25
Grok 4.3,Chinese,governance_democracy,Liberty/Oppression,24,0.5416666666666667
Grok 4.3,Chinese,migration_nationalism,Liberty/Oppression,16,0.625
Grok 4.3,Chinese,religion_state,Liberty/Oppression,4,1
Grok 4.3,Chinese,security_conflict,Liberty/Oppression,51,0.19607843137254902
Grok 4.3,Chinese,social_moral,Liberty/Oppression,8,0.625
Grok 4.3,Chinese,territorial_sovereignty,Liberty/Oppression,15,0.7333333333333333
Grok 4.3,Japanese,civil_rights_liberties,Liberty/Oppression,32,0.40625
Grok 4.3,Japanese,economic_policy,Liberty/Oppression,4,1
Grok 4.3,Japanese,environment_energy,Liberty/Oppression,4,0
Grok 4.3,Japanese,governance_democracy,Liberty/Oppression,23,0.6086956521739131
Grok 4.3,Japanese,migration_nationalism,Liberty/Oppression,16,0.625
Grok 4.3,Japanese,religion_state,Liberty/Oppression,4,0.75
Grok 4.3,Japanese,security_conflict,Liberty/Oppression,50,0.19999999999999998
Grok 4.3,Japanese,social_moral,Liberty/Oppression,8,0.875
Grok 4.3,Japanese,territorial_sovereignty,Liberty/Oppression,16,0.875
Grok 4.3,Indonesian,civil_rights_liberties,Liberty/Oppression,32,0.40625
Grok 4.3,Indonesian,economic_policy,Liberty/Oppression,4,0.75
Grok 4.3,Indonesian,environment_energy,Liberty/Oppression,4,0
Grok 4.3,Indonesian,governance_democracy,Liberty/Oppression,24,0.5416666666666667
Grok 4.3,Indonesian,migration_nationalism,Liberty/Oppression,16,0.75
Grok 4.3,Indonesian,religion_state,Liberty/Oppression,4,1
Grok 4.3,Indonesian,security_conflict,Liberty/Oppression,51,0.2156862745098039
Grok 4.3,Indonesian,social_moral,Liberty/Oppression,8,0.75
Grok 4.3,Indonesian,territorial_sovereignty,Liberty/Oppression,16,0.6875
Grok 4.3,Arabic,civil_rights_liberties,Liberty/Oppression,32,0.4375
Grok 4.3,Arabic,economic_policy,Liberty/Oppression,4,0.5
Grok 4.3,Arabic,environment_energy,Liberty/Oppression,4,0
Grok 4.3,Arabic,governance_democracy,Liberty/Oppression,24,0.45833333333333337
Grok 4.3,Arabic,migration_nationalism,Liberty/Oppression,16,0.75
Grok 4.3,Arabic,religion_state,Liberty/Oppression,4,1
Grok 4.3,Arabic,security_conflict,Liberty/Oppression,52,0.23076923076923073
Grok 4.3,Arabic,social_moral,Liberty/Oppression,8,0.75
Grok 4.3,Arabic,territorial_sovereignty,Liberty/Oppression,16,0.875
DeepSeek V3.1,English,civil_rights_liberties,Care/Harm,32,0.46875
DeepSeek V3.1,English,economic_policy,Care/Harm,4,1
DeepSeek V3.1,English,environment_energy,Care/Harm,4,1
DeepSeek V3.1,English,governance_democracy,Care/Harm,23,0.5217391304347826
DeepSeek V3.1,English,migration_nationalism,Care/Harm,16,0.375
DeepSeek V3.1,English,religion_state,Care/Harm,4,1
DeepSeek V3.1,English,security_conflict,Care/Harm,52,0.5961538461538461
DeepSeek V3.1,English,social_moral,Care/Harm,8,1
DeepSeek V3.1,English,territorial_sovereignty,Care/Harm,16,0.625
DeepSeek V3.1,Chinese,civil_rights_liberties,Care/Harm,32,0.4375
DeepSeek V3.1,Chinese,economic_policy,Care/Harm,4,0.75
DeepSeek V3.1,Chinese,environment_energy,Care/Harm,4,1
DeepSeek V3.1,Chinese,governance_democracy,Care/Harm,19,0.5263157894736842
DeepSeek V3.1,Chinese,migration_nationalism,Care/Harm,16,0.3125
DeepSeek V3.1,Chinese,religion_state,Care/Harm,4,1
DeepSeek V3.1,Chinese,security_conflict,Care/Harm,37,0.37837837837837834
DeepSeek V3.1,Chinese,social_moral,Care/Harm,8,0.875
DeepSeek V3.1,Chinese,territorial_sovereignty,Care/Harm,10,0.4
DeepSeek V3.1,Japanese,civil_rights_liberties,Care/Harm,32,0.375
DeepSeek V3.1,Japanese,economic_policy,Care/Harm,4,0.75
DeepSeek V3.1,Japanese,environment_energy,Care/Harm,4,0.75
DeepSeek V3.1,Japanese,governance_democracy,Care/Harm,23,0.391304347826087
DeepSeek V3.1,Japanese,migration_nationalism,Care/Harm,16,0.25
DeepSeek V3.1,Japanese,religion_state,Care/Harm,4,1
DeepSeek V3.1,Japanese,security_conflict,Care/Harm,48,0.375
DeepSeek V3.1,Japanese,social_moral,Care/Harm,8,0.875
DeepSeek V3.1,Japanese,territorial_sovereignty,Care/Harm,13,0
DeepSeek V3.1,Indonesian,civil_rights_liberties,Care/Harm,31,0.4838709677419355
DeepSeek V3.1,Indonesian,economic_policy,Care/Harm,4,0.75
DeepSeek V3.1,Indonesian,environment_energy,Care/Harm,4,1
DeepSeek V3.1,Indonesian,governance_democracy,Care/Harm,23,0.4347826086956522
DeepSeek V3.1,Indonesian,migration_nationalism,Care/Harm,16,0.375
DeepSeek V3.1,Indonesian,religion_state,Care/Harm,4,1
DeepSeek V3.1,Indonesian,security_conflict,Care/Harm,49,0.5102040816326531
DeepSeek V3.1,Indonesian,social_moral,Care/Harm,8,1
DeepSeek V3.1,Indonesian,territorial_sovereignty,Care/Harm,13,0.46153846153846145
DeepSeek V3.1,Arabic,civil_rights_liberties,Care/Harm,30,0.36666666666666664
DeepSeek V3.1,Arabic,economic_policy,Care/Harm,4,1
DeepSeek V3.1,Arabic,environment_energy,Care/Harm,4,1
DeepSeek V3.1,Arabic,governance_democracy,Care/Harm,22,0.5454545454545454
DeepSeek V3.1,Arabic,migration_nationalism,Care/Harm,16,0.3125
DeepSeek V3.1,Arabic,religion_state,Care/Harm,4,1
DeepSeek V3.1,Arabic,security_conflict,Care/Harm,47,0.4255319148936171
DeepSeek V3.1,Arabic,social_moral,Care/Harm,8,0.875
DeepSeek V3.1,Arabic,territorial_sovereignty,Care/Harm,16,0.5625
DeepSeek V3.1,English,civil_rights_liberties,Fairness/Cheating,32,0.65625
DeepSeek V3.1,English,economic_policy,Fairness/Cheating,4,0.75
DeepSeek V3.1,English,environment_energy,Fairness/Cheating,4,0.5
DeepSeek V3.1,English,governance_democracy,Fairness/Cheating,23,0.7391304347826086
DeepSeek V3.1,English,migration_nationalism,Fairness/Cheating,16,0.5
DeepSeek V3.1,English,religion_state,Fairness/Cheating,4,0.75
DeepSeek V3.1,English,security_conflict,Fairness/Cheating,52,0.4038461538461539
DeepSeek V3.1,English,social_moral,Fairness/Cheating,8,0.875
DeepSeek V3.1,English,territorial_sovereignty,Fairness/Cheating,16,0.9375
DeepSeek V3.1,Chinese,civil_rights_liberties,Fairness/Cheating,32,0.6875
DeepSeek V3.1,Chinese,economic_policy,Fairness/Cheating,4,1
DeepSeek V3.1,Chinese,environment_energy,Fairness/Cheating,4,0.25
