model_f,language_f,prompt_category,foundation_f,n,activation_rate
GPT-5.1,Chinese,governance_democracy,Sanctity/Degradation,24,0.08333333333333333
GPT-5.1,Chinese,migration_nationalism,Sanctity/Degradation,16,0
GPT-5.1,Chinese,religion_state,Sanctity/Degradation,4,0
GPT-5.1,Chinese,security_conflict,Sanctity/Degradation,48,0.041666666666666664
GPT-5.1,Chinese,social_moral,Sanctity/Degradation,7,0
GPT-5.1,Chinese,territorial_sovereignty,Sanctity/Degradation,15,0
GPT-5.1,Japanese,civil_rights_liberties,Sanctity/Degradation,32,0.21875
GPT-5.1,Japanese,economic_policy,Sanctity/Degradation,4,0
GPT-5.1,Japanese,environment_energy,Sanctity/Degradation,4,0
GPT-5.1,Japanese,governance_democracy,Sanctity/Degradation,22,0.22727272727272727
GPT-5.1,Japanese,migration_nationalism,Sanctity/Degradation,16,0.0625
GPT-5.1,Japanese,religion_state,Sanctity/Degradation,4,0
GPT-5.1,Japanese,security_conflict,Sanctity/Degradation,48,0.041666666666666664
GPT-5.1,Japanese,social_moral,Sanctity/Degradation,8,0
GPT-5.1,Japanese,territorial_sovereignty,Sanctity/Degradation,15,0
GPT-5.1,Indonesian,civil_rights_liberties,Sanctity/Degradation,32,0.15625
GPT-5.1,Indonesian,economic_policy,Sanctity/Degradation,4,0
GPT-5.1,Indonesian,environment_energy,Sanctity/Degradation,4,0
GPT-5.1,Indonesian,governance_democracy,Sanctity/Degradation,24,0.125
GPT-5.1,Indonesian,migration_nationalism,Sanctity/Degradation,16,0.1875
GPT-5.1,Indonesian,religion_state,Sanctity/Degradation,4,0
GPT-5.1,Indonesian,security_conflict,Sanctity/Degradation,49,0.0816326530612245
GPT-5.1,Indonesian,social_moral,Sanctity/Degradation,8,0.125
GPT-5.1,Indonesian,territorial_sovereignty,Sanctity/Degradation,13,0
GPT-5.1,Arabic,civil_rights_liberties,Sanctity/Degradation,32,0.21875
GPT-5.1,Arabic,economic_policy,Sanctity/Degradation,4,0
GPT-5.1,Arabic,environment_energy,Sanctity/Degradation,4,0
GPT-5.1,Arabic,governance_democracy,Sanctity/Degradation,22,0.04545454545454546
GPT-5.1,Arabic,migration_nationalism,Sanctity/Degradation,15,0
GPT-5.1,Arabic,religion_state,Sanctity/Degradation,4,0
GPT-5.1,Arabic,security_conflict,Sanctity/Degradation,48,0.041666666666666664
GPT-5.1,Arabic,social_moral,Sanctity/Degradation,8,0.125
GPT-5.1,Arabic,territorial_sovereignty,Sanctity/Degradation,14,0
GPT-5.1,English,civil_rights_liberties,Liberty/Oppression,30,0.5333333333333333
GPT-5.1,English,economic_policy,Liberty/Oppression,4,1
GPT-5.1,English,environment_energy,Liberty/Oppression,4,0
GPT-5.1,English,governance_democracy,Liberty/Oppression,22,0.6818181818181819
GPT-5.1,English,migration_nationalism,Liberty/Oppression,15,0.8666666666666667
GPT-5.1,English,religion_state,Liberty/Oppression,4,1
GPT-5.1,English,security_conflict,Liberty/Oppression,52,0.3076923076923077
GPT-5.1,English,social_moral,Liberty/Oppression,8,0.875
