model_f,prompt_category,dimension_f,n,mean_score,sd_score,se_score
DeepSeek V3.1,security_conflict,Social L-R,233,-0.05150214592274678,0.37932548034435826,0.02485043846717067
DeepSeek V3.1,social_moral,Social L-R,40,0,0.6405126152203485,0.10127393670836665
DeepSeek V3.1,territorial_sovereignty,Social L-R,68,0,0.3863337046431279,0.04684984326411154
DeepSeek V3.1,civil_rights_liberties,Authoritarian-Libertarian,157,-0.17834394904458598,0.4599774898808911,0.03671020018242776
DeepSeek V3.1,economic_policy,Authoritarian-Libertarian,20,-0.15,0.7451598203705946,0.1666228012450182
DeepSeek V3.1,environment_energy,Authoritarian-Libertarian,20,-0.3,0.7326950970650465,0.16383560438182507
DeepSeek V3.1,governance_democracy,Authoritarian-Libertarian,110,-0.23636363636363636,0.44777272919884104,0.04269345457754924
DeepSeek V3.1,migration_nationalism,Authoritarian-Libertarian,80,-0.225,0.5271129871913829,0.058933023559145405
DeepSeek V3.1,religion_state,Authoritarian-Libertarian,20,0.05,0.3940344628262062,0.0881087844357011
DeepSeek V3.1,security_conflict,Authoritarian-Libertarian,233,-0.06437768240343347,0.26289448817647704,0.017222790559329314
DeepSeek V3.1,social_moral,Authoritarian-Libertarian,40,0.05,0.552384110133705,0.08733959656539025
DeepSeek V3.1,territorial_sovereignty,Authoritarian-Libertarian,68,-0.014705882352941176,0.21108441112881324,0.025597744794276497
DeepSeek V3.1,civil_rights_liberties,Populist-Elitist,157,-0.21656050955414013,0.4573960767153672,0.03650418098334809
DeepSeek V3.1,economic_policy,Populist-Elitist,20,-0.2,0.7677718959499146,0.17167901505579045
DeepSeek V3.1,environment_energy,Populist-Elitist,20,-0.2,0.6155870112510924,0.13764944032233703
DeepSeek V3.1,governance_democracy,Populist-Elitist,110,-0.08181818181818182,0.27534192860521617,0.026252822817580443
DeepSeek V3.1,migration_nationalism,Populist-Elitist,80,-0.2375,0.5335277862812555,0.05965021990049335
DeepSeek V3.1,religion_state,Populist-Elitist,20,0,0,0
DeepSeek V3.1,security_conflict,Populist-Elitist,233,-0.07296137339055794,0.2766771479381866,0.018125722621819235
DeepSeek V3.1,social_moral,Populist-Elitist,40,0,0,0
DeepSeek V3.1,territorial_sovereignty,Populist-Elitist,68,0,0.42320736951515897,0.051321431942670706
Qwen3-Max,civil_rights_liberties,Economic L-R,159,-0.012578616352201259,0.1117989483684943,0.008866233328525533
Qwen3-Max,economic_policy,Economic L-R,20,-0.55,1.145931016569864,0.25623796505756535
Qwen3-Max,environment_energy,Economic L-R,20,-0.1,0.7880689256524122,0.17621756887140214
Qwen3-Max,governance_democracy,Economic L-R,118,0,0,0
Qwen3-Max,migration_nationalism,Economic L-R,80,0.05,0.27095704736911236,0.030293918844998286
Qwen3-Max,religion_state,Economic L-R,20,0,0,0
Qwen3-Max,security_conflict,Economic L-R,257,-0.01556420233463035,0.15229678046013145,0.009500012152054786
Qwen3-Max,social_moral,Economic L-R,40,0,0,0
Qwen3-Max,territorial_sovereignty,Economic L-R,79,0.0379746835443038,0.19235637163825503,0.02164178263962305
Qwen3-Max,civil_rights_liberties,Social L-R,159,-0.3018867924528302,0.634001926494817,0.05027962331550729
Qwen3-Max,economic_policy,Social L-R,20,0,0,0
Qwen3-Max,environment_energy,Social L-R,20,-0.05,0.2236067977499789,0.04999999999999998
Qwen3-Max,governance_democracy,Social L-R,118,-0.05084745762711865,0.4306119205323888,0.0396410404206567
Qwen3-Max,migration_nationalism,Social L-R,80,-0.25,0.8190763553841407,0.09157552047008571
Qwen3-Max,religion_state,Social L-R,20,-0.1,0.5525062514530825,0.12354415362426845
Qwen3-Max,security_conflict,Social L-R,257,-0.0038910505836575876,0.42846067565607115,0.0267266426323164
Qwen3-Max,social_moral,Social L-R,40,-0.275,0.7156671622894873,0.11315691397120718
Qwen3-Max,territorial_sovereignty,Social L-R,79,-0.0379746835443038,0.43686053559000765,0.04915065029843803
Qwen3-Max,civil_rights_liberties,Authoritarian-Libertarian,159,-0.18238993710691823,0.4885440253531137,0.0387440613999412
