jurisdiction,language,home_status,n,n_issues,outcome,events,rate,estimate,estimate_pp,outcome_role,sample,canonical_run_id
MENA,en,away,4992,416,genuine_refusal,175,0.035056089743589744,0.035056089743589744,3.5056089743589745,primary,all delivered languages; descriptive only,canon_019
MENA,en,away,4992,416,capability_failure,761,0.15244391025641027,0.15244391025641027,15.244391025641027,diagnostic,all delivered languages; descriptive only,canon_019
MENA,en,general,1248,104,genuine_refusal,42,0.03365384615384615,0.03365384615384615,3.3653846153846154,primary,all delivered languages; descriptive only,canon_019
MENA,en,general,1248,104,capability_failure,159,0.12740384615384615,0.12740384615384615,12.740384615384615,diagnostic,all delivered languages; descriptive only,canon_019
MENA,en,home,1248,104,genuine_refusal,87,0.06971153846153846,0.06971153846153846,6.971153846153847,primary,all delivered languages; descriptive only,canon_019
MENA,en,home,1248,104,capability_failure,169,0.13541666666666666,0.13541666666666666,13.541666666666666,diagnostic,all delivered languages; descriptive only,canon_019
MENA,hi,away,4990,416,genuine_refusal,14,0.0028056112224448897,0.0028056112224448897,0.280561122244489,primary,all delivered languages; descriptive only,canon_019
MENA,hi,away,4990,416,capability_failure,4753,0.9525050100200401,0.9525050100200401,95.250501002004,diagnostic,all delivered languages; descriptive only,canon_019
MENA,hi,general,1247,104,genuine_refusal,2,0.0016038492381716118,0.0016038492381716118,0.16038492381716118,primary,all delivered languages; descriptive only,canon_019
MENA,hi,general,1247,104,capability_failure,1187,0.9518845228548516,0.9518845228548516,95.18845228548516,diagnostic,all delivered languages; descriptive only,canon_019
MENA,hi,home,1248,104,genuine_refusal,7,0.005608974358974359,0.005608974358974359,0.5608974358974359,primary,all delivered languages; descriptive only,canon_019
MENA,hi,home,1248,104,capability_failure,1217,0.9751602564102564,0.9751602564102564,97.51602564102564,diagnostic,all delivered languages; descriptive only,canon_019
MENA,ru,away,4992,416,genuine_refusal,54,0.010817307692307692,0.010817307692307692,1.0817307692307692,primary,all delivered languages; descriptive only,canon_019
MENA,ru,away,4992,416,capability_failure,3583,0.7177483974358975,0.7177483974358975,71.77483974358975,diagnostic,all delivered languages; descriptive only,canon_019
MENA,ru,general,1248,104,genuine_refusal,10,0.008012820512820512,0.008012820512820512,0.8012820512820512,primary,all delivered languages; descriptive only,canon_019
MENA,ru,general,1248,104,capability_failure,852,0.6826923076923077,0.6826923076923077,68.26923076923077,diagnostic,all delivered languages; descriptive only,canon_019
