n,outcome,events,rate,scope,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,uncertainty,canonical_run_id
62396,capability_failure,9175,0.14704468235143278,developer jurisdiction,14.704468235143278,NA,NA,CN,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
62396,substantive_pivot,2319,0.03716584396435669,developer jurisdiction,3.716584396435669,NA,NA,CN,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
37430,genuine_refusal,689,0.01840769436281058,developer jurisdiction,1.8407694362810578,NA,NA,MENA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
37430,capability_failure,20950,0.5597114613946033,developer jurisdiction,55.97114613946032,NA,NA,MENA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
37430,substantive_pivot,985,0.02631578947368421,developer jurisdiction,2.631578947368421,NA,NA,MENA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12401,genuine_refusal,216,0.01741795016530925,developer jurisdiction,1.741795016530925,NA,NA,India,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12401,capability_failure,8172,0.6589791145875332,developer jurisdiction,65.89791145875333,NA,NA,India,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12401,substantive_pivot,228,0.018385614063381985,developer jurisdiction,1.8385614063381985,NA,NA,India,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
87358,genuine_refusal,1975,0.022608118317727053,developer jurisdiction,2.2608118317727053,NA,NA,US,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
87358,capability_failure,11476,0.1313674763616383,developer jurisdiction,13.13674763616383,NA,NA,US,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
87358,substantive_pivot,855,0.009787311980585637,developer jurisdiction,0.9787311980585637,NA,NA,US,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
24959,genuine_refusal,10,4.006570776072759e-4,developer jurisdiction,0.04006570776072759,NA,NA,EU,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
24959,capability_failure,2790,0.11178332465242999,developer jurisdiction,11.178332465242999,NA,NA,EU,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
24959,substantive_pivot,24,9.615769862574622e-4,developer jurisdiction,0.09615769862574622,NA,NA,EU,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
