jurisdiction,home_status,n,refusals_strict,refusals_any,rate_strict,rate_any,n_issues,grouping,stratum_value,model,quantity,weighting,estimate,estimate_pp,conf_low,conf_high,conf_low_pp,conf_high_pp,n_home,n_away,estimable,note,sample,outcome,estimand,causal_interpretation,general_handling,canonical_run_id
US,general,416,7,7,0.016826923076923076,0.016826923076923076,104,model,gpt-4o,gpt-4o,observed_rate,response,0.016826923076923076,1.6826923076923077,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,home,416,13,13,0.03125,0.03125,104,model,gpt-4o,gpt-4o,observed_rate,response,0.03125,3.125,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,away,1664,82,92,0.04927884615384615,0.055288461538461536,416,model,gpt-5.1,gpt-5.1,observed_rate,response,0.04927884615384615,4.927884615384615,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,general,416,12,13,0.028846153846153848,0.03125,104,model,gpt-5.1,gpt-5.1,observed_rate,response,0.028846153846153848,2.8846153846153846,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,home,416,10,12,0.02403846153846154,0.028846153846153848,104,model,gpt-5.1,gpt-5.1,observed_rate,response,0.02403846153846154,2.403846153846154,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,away,1664,35,41,0.021033653846153848,0.024639423076923076,416,model,grok-4.3,grok-4.3,observed_rate,response,0.021033653846153848,2.1033653846153846,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,general,416,8,8,0.019230769230769232,0.019230769230769232,104,model,grok-4.3,grok-4.3,observed_rate,response,0.019230769230769232,1.9230769230769231,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,home,416,8,8,0.019230769230769232,0.019230769230769232,104,model,grok-4.3,grok-4.3,observed_rate,response,0.019230769230769232,1.9230769230769231,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
EU,away,1664,0,0,0,0,416,model,mistral-large-2512,mistral-large-2512,observed_rate,response,0,0,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
EU,general,416,0,0,0,0,104,model,mistral-large-2512,mistral-large-2512,observed_rate,response,0,0,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
