dimension,field,model,jurisdiction,n,n_issues,share_neg2,share_neg1,share_zero,share_pos1,share_pos2,share_negative,share_positive,share_neutral,signed_mean,conditional,canonical_run_id
Authority,authoritarian_libertarian,jais-8b,MENA,606,156,0.006600660066006601,0.11551155115511551,0.8382838283828383,0.037953795379537955,0.0016501650165016502,0.12211221122112212,0.039603960396039604,0.8382838283828383,-0.08745874587458746,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,mistral-large-2512,EU,624,156,0.009615384615384616,0.16826923076923078,0.7724358974358975,0.049679487179487176,0,0.1778846153846154,0.049679487179487176,0.7724358974358975,-0.13782051282051283,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,qwen3-max,CN,584,155,0.005136986301369863,0.1660958904109589,0.761986301369863,0.06335616438356165,0.003424657534246575,0.17123287671232876,0.06678082191780822,0.761986301369863,-0.10616438356164383,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,sarvam-30b,India,589,156,0.006791171477079796,0.11884550084889643,0.833616298811545,0.04074702886247878,0,0.12563667232597622,0.04074702886247878,0.833616298811545,-0.09168081494057725,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,allam-7b,MENA,512,156,0,0.16015625,0.8125,0.02734375,0,0.16015625,0.02734375,0.8125,-0.1328125,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,claude-opus-4.5,US,606,156,0,0.13861386138613863,0.8085808580858086,0.052805280528052806,0,0.13861386138613863,0.052805280528052806,0.8085808580858086,-0.0858085808580858,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,deepseek-chat-v3.1,CN,597,156,0.0016750418760469012,0.17420435510887772,0.7638190954773869,0.06030150753768844,0,0.17587939698492464,0.06030150753768844,0.7638190954773869,-0.11725293132328309,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,falcon3-10b,MENA,581,156,0,0.10154905335628227,0.8691910499139415,0.029259896729776247,0,0.10154905335628227,0.029259896729776247,0.8691910499139415,-0.07228915662650602,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,gpt-4o,US,612,156,0,0.12745098039215685,0.8415032679738562,0.03104575163398693,0,0.12745098039215685,0.03104575163398693,0.8415032679738562,-0.09640522875816994,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,gpt-5.1,US,605,156,0.001652892561983471,0.15702479338842976,0.8066115702479338,0.03471074380165289,0,0.15867768595041323,0.03471074380165289,0.8066115702479338,-0.1256198347107438,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,grok-4.3,US,612,156,0,0.13398692810457516,0.6993464052287581,0.16666666666666666,0,0.13398692810457516,0.16666666666666666,0.6993464052287581,0.032679738562091505,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,jais-8b,MENA,606,156,0,0.14356435643564355,0.8267326732673267,0.0297029702970297,0,0.14356435643564355,0.0297029702970297,0.8267326732673267,-0.11386138613861387,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,mistral-large-2512,EU,624,156,0.0016025641025641025,0.1987179487179487,0.7612179487179487,0.03685897435897436,0.0016025641025641025,0.20032051282051283,0.038461538461538464,0.7612179487179487,-0.16185897435897437,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,qwen3-max,CN,584,155,0,0.21232876712328766,0.7345890410958904,0.053082191780821915,0,0.21232876712328766,0.053082191780821915,0.7345890410958904,-0.15924657534246575,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Populism,populist_elitist,sarvam-30b,India,589,156,0,0.14770797962648557,0.8251273344651953,0.027164685908319185,0,0.14770797962648557,0.027164685908319185,0.8251273344651953,-0.12054329371816638,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
